common_name,date,prop_pop
Marbled Godwit,2018-01-11,0
Marbled Godwit,2018-01-18,0
Marbled Godwit,2018-01-25,0
Marbled Godwit,2018-02-01,0
Marbled Godwit,2018-02-08,0
Marbled Godwit,2018-02-15,0
Marbled Godwit,2018-02-22,0
Marbled Godwit,2018-03-01,0
Marbled Godwit,2018-03-08,0
Marbled Godwit,2018-03-15,0
Marbled Godwit,2018-03-22,0
Marbled Godwit,2018-03-29,0
Marbled Godwit,2018-04-05,0
Marbled Godwit,2018-04-12,0.005586028105348771
Marbled Godwit,2018-04-19,0.017616262039935188
Marbled Godwit,2018-04-26,0.005418576218262747
Marbled Godwit,2018-05-03,0.001637302865501962
Marbled Godwit,2018-05-10,8.241922886563862e-4
Marbled Godwit,2018-05-17,7.300121084421897e-4
Marbled Godwit,2018-05-24,5.727961505021727e-6
Marbled Godwit,2018-05-31,0
Marbled Godwit,2018-06-07,0
Marbled Godwit,2018-06-14,0
Marbled Godwit,2018-06-21,5.712352935762409e-4
Marbled Godwit,2018-06-28,4.762862652952703e-4
Marbled Godwit,2018-07-06,1.0752989618745786e-4
Marbled Godwit,2018-07-13,4.988427761988761e-5
Marbled Godwit,2018-07-20,1.8391229406218808e-5
Marbled Godwit,2018-07-27,1.960699995974546e-5
Marbled Godwit,2018-08-03,2.2279607189478172e-5
Marbled Godwit,2018-08-10,2.031007619619085e-5
Marbled Godwit,2018-08-17,2.3454203923634888e-5
Marbled Godwit,2018-08-24,3.530297491870466e-5
Marbled Godwit,2018-08-31,3.773606322722509e-5
Marbled Godwit,2018-09-07,3.428003826872174e-5
Marbled Godwit,2018-09-14,3.0490930179747986e-5
Marbled Godwit,2018-09-21,1.9244321642528798e-5
Marbled Godwit,2018-09-28,1.3601517012710742e-5
Marbled Godwit,2018-10-05,1.4451132285734714e-5
Marbled Godwit,2018-10-12,0
Marbled Godwit,2018-10-19,0
Marbled Godwit,2018-10-26,0
Marbled Godwit,2018-11-02,0
Marbled Godwit,2018-11-09,0
Marbled Godwit,2018-11-16,0
Marbled Godwit,2018-11-23,0
Marbled Godwit,2018-11-30,0
Marbled Godwit,2018-12-07,0
Marbled Godwit,2018-12-14,0
Marbled Godwit,2018-12-21,0
Marbled Godwit,2018-12-28,0
Sanderling,2018-01-04,0
Sanderling,2018-01-11,0
Sanderling,2018-01-18,0
Sanderling,2018-01-25,0
Sanderling,2018-02-01,0
Sanderling,2018-02-08,0
Sanderling,2018-02-15,0
Sanderling,2018-02-22,0
Sanderling,2018-03-01,0
Sanderling,2018-03-08,0
Sanderling,2018-03-15,0
Sanderling,2018-03-22,0
Sanderling,2018-03-29,0
Sanderling,2018-04-05,0
Sanderling,2018-04-12,0
Sanderling,2018-04-19,2.472294804603759e-5
Sanderling,2018-04-26,1.2595544584416115e-4
Sanderling,2018-05-03,1.4702415569891922e-4
Sanderling,2018-05-10,1.4031794535927745e-4
Sanderling,2018-05-17,1.4364086930182714e-4
Sanderling,2018-05-24,1.2834796844829455e-4
Sanderling,2018-05-31,1.0616885986111344e-4
Sanderling,2018-06-07,3.710641910292851e-5
Sanderling,2018-06-14,0
Sanderling,2018-06-21,0
Sanderling,2018-06-28,0
Sanderling,2018-07-06,0
Sanderling,2018-07-13,0
Sanderling,2018-07-20,0
Sanderling,2018-07-27,1.970099025393173e-5
Sanderling,2018-08-03,3.555106550463896e-5
Sanderling,2018-08-10,5.650657875226028e-5
Sanderling,2018-08-17,6.53854744205362e-5
Sanderling,2018-08-24,6.795709595528105e-5
